nupdates,total_timesteps,policy_loss,explained_variance,time_elapsed,serial_timesteps,approxkl,clipfrac,ep_rewmean,policy_entropy,eplenmean,fps,value_loss
1,4480,-0.030686429,-0.18486547470092773,6.198883056640625e-06,4096,0.014602086,0.20964356,-0.7976673200000001,8.485991,17.39,414,0.4369176
2,8960,-0.034618005,0.09129822254180908,9.88498830795288,8192,0.017460743,0.25527343,5.815590429999999,8.428196,23.42,335,0.37048417
3,13440,-0.034150023,0.16167551279067993,22.091100692749023,12288,0.01675726,0.24372558,20.25306466,8.372889,36.77,323,0.3872247
4,17920,-0.022331122,0.17733681201934814,34.748411893844604,16384,0.01234491,0.18093261,47.11044363,8.31478,56.08,326,0.32020715
5,22400,-0.02038809,0.42766350507736206,47.31165027618408,20480,0.010854389,0.15302734,86.23621044000001,8.258059,85.63,328,0.15131441
6,26880,-0.01890513,0.5789111256599426,59.79368448257446,24576,0.009636472,0.1305664,119.60973766000002,8.206629,106.78,322,0.09900109
7,31360,-0.016640853,0.6109446287155151,72.50993514060974,28672,0.009326962,0.13378906,168.31785449000003,8.160055,133.57,327,0.059384234
8,35840,-0.018563926,0.7075112164020538,85.01641774177551,32768,0.010159092,0.14506836,197.69948627000002,8.121385,143.66,328,0.045778163
9,40320,-0.014502237,0.7142421901226044,97.48258852958679,36864,0.00815035,0.1078125,221.98758874000004,8.099894,151.03,329,0.034103468
10,44800,-0.016383583,0.7790488749742508,109.90696048736572,40960,0.008786567,0.12238769,224.83330891999998,8.088352,145.82,333,0.024013506
11,49280,-0.016838033,0.8138183951377869,122.19457125663757,45056,0.009313275,0.124853514,219.69182274,8.05145,137.22,330,0.01853292
12,53760,-0.012463452,0.9092869833111763,134.5748372077942,49152,0.007400161,0.096875,215.43989974,8.070388,128.0,331,0.008650473
13,58240,-0.016541418,0.9348279014229774,146.9423360824585,53248,0.009297775,0.12644044,208.22390486000003,8.066465,120.76,333,0.007137294
14,62720,-0.014814086,0.9376799017190933,159.24282455444336,57344,0.009288889,0.12893066,205.65236254000004,8.04029,118.46,336,0.009435998
15,67200,-0.016578306,0.9734394121915102,171.41682839393616,61440,0.009520412,0.13764648,205.58129343000002,8.034544,117.01,333,0.0038722202
16,71680,-0.016689725,0.9777298755943775,183.6872215270996,65536,0.0084892195,0.11838379,208.01273486999997,7.996939,118.68,330,0.004414592
17,76160,-0.018722117,0.9769058506935835,196.06620383262634,69632,0.00969089,0.13779297,210.53748102999998,7.97693,118.16,338,0.004657348
18,80640,-0.01830328,0.9834641925990582,208.1563868522644,73728,0.009552364,0.13757324,213.1314601,7.9602876,119.49,332,0.0036323715
19,85120,-0.02123421,0.9555858187377453,220.4903528690338,77824,0.011001087,0.15334472,214.59398342,7.93654,122.95,334,0.008454194
20,89600,-0.01593301,0.944969542324543,232.7501344680786,81920,0.00942084,0.13405761,219.99101165,7.9250116,127.14,337,0.012340425
21,94080,-0.017520651,0.9875531317666173,244.88768577575684,86016,0.008912597,0.12426758,220.81122562000002,7.912057,126.78,329,0.0027409534
22,98560,-0.022182344,0.9879197962582111,257.32626080513,90112,0.0114389965,0.16894531,221.16852956000002,7.866437,123.44,328,0.002689282
23,103040,-0.020864448,0.9862516233697534,269.79199481010437,94208,0.009605172,0.13693848,224.1385133,7.828681,123.29,333,0.0030953344
24,107520,-0.021379879,0.9827257059514523,282.0568151473999,98304,0.010221386,0.14797363,231.91419146000004,7.798426,127.28,335,0.0040996326
25,112000,-0.017993087,0.9853858258575201,294.25019001960754,102400,0.009559156,0.13542481,237.43586232,7.787024,130.17,332,0.0036873866
26,116480,-0.019471353,0.98742407374084,306.55420112609863,106496,0.010463192,0.14953613,237.7083119,7.7674494,128.9,327,0.0027771394
27,120960,-0.01914779,0.984771347604692,319.04493618011475,110592,0.010301572,0.14418945,241.19966289999996,7.757968,130.85,336,0.0033948142
28,125440,-0.020141352,0.9848752096295357,331.2284846305847,114688,0.0108718155,0.15346679,245.52336483000002,7.7274957,132.41,331,0.0036301478
29,129920,-0.022339236,0.9866380784660578,343.58021306991577,118784,0.010912822,0.15144043,251.48582811,7.701162,135.5,336,0.0032933298
30,134400,-0.021100136,0.9825053680688143,355.76646637916565,122880,0.010394828,0.15004882,257.0847079,7.6611185,136.85,332,0.004007835
31,138880,-0.024362225,0.9868417894467711,368.0732374191284,126976,0.011613546,0.16745606,267.80224749999996,7.6099043,142.67,333,0.0027329035
32,143360,-0.017693983,0.8981002494692802,380.36849093437195,131072,0.010711437,0.15224609,268.36806464,7.556671,140.78,331,0.03121917
33,147840,-0.021158498,0.9759521428495646,392.7118499279022,135168,0.010264942,0.14748535,280.61362267,7.526181,144.16,332,0.005169821
34,152320,-0.017802496,0.9069623202085495,405.01637268066406,139264,0.01061515,0.15124512,280.68973461,7.5217156,142.77,328,0.024203496
35,156800,-0.019360166,0.9014729037880898,417.4730076789856,143360,0.01202559,0.16655274,285.84853251,7.4866576,145.22,334,0.025635114
36,161280,-0.021448711,0.9540012888610363,429.7116312980652,147456,0.011406127,0.16699219,292.51125935000005,7.431441,148.47,328,0.011953801
37,165760,-0.021456487,0.9713908229023218,442.19451880455017,151552,0.011415752,0.16411133,295.97831326,7.4210854,148.6,329,0.007019979
38,170240,-0.019222513,0.9321128949522972,454.62432503700256,155648,0.011343187,0.15964356,294.02736813,7.4206915,146.01,331,0.01908405
39,174720,-0.019757787,0.9392571672797203,466.9679126739502,159744,0.011597334,0.17016602,295.35348438,7.411888,145.97,329,0.01846971
40,179200,-0.023723597,0.9410000555217266,479.40448355674744,163840,0.01496576,0.22001953,307.46209013000004,7.410321,150.4,327,0.017290039
41,183680,-0.023122882,0.9748606607317924,491.91456174850464,167936,0.011175154,0.16345215,315.46772802,7.3947654,152.92,330,0.0059859706
42,188160,-0.019917864,0.8566439002752304,504.3153693675995,172032,0.012421643,0.17770997,325.21648555,7.375196,158.37,328,0.038885593
43,192640,-0.019821998,0.8792395666241646,516.7792658805847,176128,0.0118282065,0.1696289,333.92846604,7.375174,162.07,331,0.036477722
44,197120,-0.023598216,0.9737376030534506,529.1475160121918,180224,0.013175994,0.18620606,343.1055747799999,7.3403654,165.69,330,0.006639621
45,201600,-0.0226444,0.9692630153149366,541.552478313446,184320,0.01250239,0.17668457,354.96131712999994,7.2959623,168.69,334,0.008403568
46,206080,-0.02558742,0.9470047317445278,553.8049337863922,188416,0.012677741,0.18349609,365.56553255,7.28965,170.45,336,0.014654599
47,210560,-0.02448683,0.9794257488101721,565.992345571518,192512,0.013093358,0.19338378,380.48216972,7.267957,173.96,333,0.0059501054
48,215040,-0.025036339,0.944857869297266,578.2796170711517,196608,0.014325881,0.20710449,399.28006558999994,7.238192,178.55,333,0.018840853
49,219520,-0.021423738,0.7448680996894836,590.5529682636261,200704,0.014175104,0.1963623,394.78060381,7.219607,178.82,331,0.08487445
50,224000,-0.019801369,0.7532798945903778,602.9191789627075,204800,0.014436901,0.20229492,400.5320603400001,7.22995,181.15,332,0.073364735
51,228480,-0.019042734,0.8554108291864395,615.2381865978241,208896,0.012199992,0.17585449,403.0826158800001,7.2365966,182.62,331,0.04771503
52,232960,-0.019530535,0.8648318350315094,627.6134366989136,212992,0.012164258,0.17756347,400.93141430000003,7.2250643,183.0,329,0.042593703
53,237440,-0.019682016,0.7470795214176178,640.0342614650726,217088,0.013909953,0.19907227,409.43541293999994,7.218347,184.34,330,0.07395511
54,241920,-0.018731138,0.7832938730716705,652.423761844635,221184,0.012121735,0.16472168,421.98324094,7.232039,188.34,334,0.062463623
55,246400,-0.020604845,0.693151444196701,664.653294801712,225280,0.013251521,0.18552247,427.1860118699999,7.216571,192.52,334,0.08794191
56,250880,-0.02033428,0.7611046880483627,676.9033622741699,229376,0.014163579,0.20075683,446.67037021000004,7.195726,201.62,334,0.066029
